Species,Accession#,Individual,AOI # (Sample per Replicate),Tissue,Measurement Date,Time,Fo,Fm,Ft,F'm,Fo',Fv/Fm,φPSII,ΦNPQ,"Φf,D",NPQ,1-qP,Comments,exclude,
C_sandwichiana,155,C,6,fruit,2018-01-15,9:59:00 AM,0.2113,0.3167,0.2824,0.277,0.192858317,0.332807073,-0.019494585,0.127798974,0.891695611,0.1433213,1.064177466,"exclude- too many SPs, measurement is no good",exclude,
C_sandwichiana,155,C,4,seed,2018-01-15,9:59:00 AM,0.2574,0.3637,0.3118,0.3059,0.227039124,0.292273852,-0.019287349,0.161987376,0.857299973,0.188950637,1.074815298,"exclude- too many SPs, measurement is no good",exclude,
C_indecora,ss.16.77,D,3,fruit,2018-02-16,3:35:35 PM,0.0946,0.2093,0.1613,0.1593,0.082846901,0.5480172,-0.012554928,0.241890809,0.770664118,0.313873195,1.026159829,noisy file; probably shouldn’t use?,exclude,
C_californica,ss.17.105 ,B,2,old,2018-05-29,3:42:33 PM,0.0025,0.0054,0.0034,0.0034,0.001964897,0.537037037,0,0.37037037,0.62962963,0.588235294,1,,,
C_cephalanthii,1567,B,4,old,2017-12-13,12:12:56 PM,0.0093,0.0123,0.0088,0.0088,0.007149883,0.243902439,0,0.284552846,0.715447154,0.397727273,1,,,
C_cephalanthii,1567,A,6,flower,2017-12-21,10:53:16 AM,0.0284,0.0696,0.0441,0.0441,0.02297837,0.591954023,0,0.36637931,0.63362069,0.578231293,1,,,
C_cephalanthii,1567,A,8,flower,2017-12-21,10:53:16 AM,0.0363,0.0809,0.05,0.05,0.028419369,0.551297899,0,0.381953028,0.618046972,0.618,1,,,
C_cephalanthii,1567,A,6,old,2017-12-21,10:20:01 AM,0.0093,0.0118,0.0103,0.0093,0.007674126,0.211864407,0,0.234645526,0.872881356,0.268817204,1.615053763,,,
C_cephalanthii,1567,D,4,old,2018-03-08,12:10:52 PM,0.0049,0.0083,0.0059,0.0059,0.003951144,0.409638554,0,0.289156627,0.710843373,0.406779661,1,,,
C_cephalanthii,1567,E,2,old,2018-03-08,1:10:13 PM,0.0025,0.0025,0.0025,0.0025,0.0025,0,0,0,1,0,*,truly 0 signal,,
C_cephalanthii,1567,E,3,old,2018-03-08,1:10:13 PM,0.0025,0.0025,0.0025,0.0025,0.0025,0,0,0,1,0,*,truly 0 signal,,
C_cephalanthii,1567,E,5,old,2018-03-08,1:10:13 PM,0.0083,0.0147,0.0088,0.0088,0.006020793,0.43537415,0,0.401360544,0.598639456,0.670454545,1,,,
C_cephalanthii,1567,E,6,old,2018-03-08,1:10:13 PM,0.0078,0.0108,0.0088,0.0083,0.006406377,0,0,0,1,0,*,truly 0 signal,,
C_indecora,ss.16.77,A,1,young,2017-12-13,1:12:06 PM,0.0059,0.0088,0.0059,0.0093,0.006120624,0,0,0,1,0,*,,,
C_indecora,ss.16.77,A,2,young,2017-12-13,1:12:06 PM,0.0093,0.0191,0.0098,0.0059,0.004451123,0,0,0,1,0,*,truly 0 signal,,
C_indecora,ss.16.77,A,3,young,2017-12-13,1:12:06 PM,0.0108,0.0206,0.0118,0.0093,0.00659736,0,0,0,1,0,*,truly 0 signal,,
C_indecora,ss.16.77,A,3,flower,2018-01-15,10:19:56 AM,0.0152,0.0147,0.0137,0.0113,0.011593149,0,0,0,1,0,*,flowers themselves have 0 signal; their stems have a little,,
C_indecora,ss.16.77,A,4,flower,2018-01-15,10:19:56 AM,0.0162,0.0186,0.0172,0.0147,0.013159251,0,0,0,1,0,*,flowers themselves have 0 signal; their stems have a little,,
C_indecora,ss.16.77,A,5,flower,2018-01-15,10:19:56 AM,0.0206,0.0211,0.0201,0.0172,0.016866291,0,0,0,1,0,*,flowers themselves have 0 signal; their stems have a little,,
C_indecora,ss.16.77,C,2,old,2018-01-25,11:51:38 AM,0.0039,0.0064,0.0039,0.0069,0.004080171,0,0,0,1,0,*,truly 0 signal,,
C_indecora,ss.16.77,C,3,old,2018-01-25,11:51:38 AM,0.0029,0.0034,0.0025,0.0059,0.004541296,0,0,0,1,0,*,truly 0 signal,,
C_indecora,ss.16.77,C,4,old,2018-01-25,11:51:38 AM,0.0034,0.0034,0.0034,0.0074,0.0074,0,0,0,1,0,*,truly 0 signal,,
C_indecora,ss.16.77,C,4,flower,2018-03-23,4:45:38 PM,0.0324,0.0402,0.0353,0.0343,0.028455092,0.194029851,0,0.151045066,0.878109453,0.172011662,1.1710891,0 YPSII,,
C_indecora,ss.16.77,C,5,flower,2018-03-23,4:45:38 PM,0.0402,0.0583,0.0539,0.0539,0.038057776,0.310463122,0,0.075471698,0.924528302,0.081632653,1,,,
C_purpurata,1432,A,1,young,2018-05-01,4:41:08 PM,0.0103,0.0083,0.0093,0.0074,0.0089493,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,2,young,2018-05-01,4:41:08 PM,0.0113,0.0093,0.0108,0.0078,0.009159705,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,3,young,2018-05-01,4:41:08 PM,0.0108,0.0088,0.0103,0.0078,0.009331722,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,B,1,young,2018-05-01,4:13:37 PM,0.0093,0.0074,0.0093,0.0074,0.0093,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,B,2,young,2018-05-01,4:13:37 PM,0.0108,0.0093,0.0103,0.0088,0.010131499,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,B,3,young,2018-05-01,4:13:37 PM,0.0074,0.0064,0.0054,0.0044,0.004850652,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,1,haustorium,2018-05-03,3:32:37 PM,0.0039,0.0025,0.0039,0.0025,0.0039,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,2,haustorium,2018-05-03,3:32:37 PM,0.002,0.0015,0.002,0.0015,0.002,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,1,young,2018-05-03,3:28:03 PM,0.0015,0.0015,0.002,0.0015,0.0015,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,2,young,2018-05-03,3:28:03 PM,0.0025,0.0025,0.0025,0.0025,0.0025,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,A,3,young,2018-05-03,3:28:03 PM,0.0025,0.0025,0.0025,0.0025,0.0025,0,0,0,1,0,*,truly 0 signal,,
C_purpurata,1432,B,1,haustorium,2018-05-03,3:22:43 PM,0.0015,0.0015,0.0015,0.0015,0.0015,0,0,0,1,0,*,truly 0 signal,,
