"Species","Pigment","label"
"C_tasmanica","a.Car.Car","paste(italic(""P""),"" = 0.075"")"
"C_costaricensis","a.Car.Car","paste(italic(""P""),"" = 0.025"")"
"C_indecora","a.Car.Car","paste(italic(""P""),"" = 0.38"")"
"C_australis","b.Car.Car","paste(italic(""P""),"" = 0.164"")"
"C_polygonorum","b.Car.Car","paste(italic(""P""),"" = 0.016"")"
"C_sandwichiana","b.Car.Car","paste(italic(""P""),"" = 0.028"")"
"C_californica","b.Car.Car","paste(italic(""P""),"" = 0.003"")"
"C_compacta","b.Car.Car","paste(italic(""P""),"" = 0.038"")"
"C_cephalanthii","b.Car.Car","paste(italic(""P""),"" = 0.000592"")"
"C_denticulata","b.Car.Car","paste(italic(""P""),"" = 0.009"")"
"C_tasmanica","b.Car.Car","paste(italic(""P""),"" = 0.001"")"
"C_costaricensis","b.Car.Car","paste(italic(""P""),"" = 0.002"")"
"C_indecora","b.Car.Car","paste(italic(""P""),"" = 0.06"")"
"C_australis","Zea.Car","paste(italic(""P""),"" = 0.094"")"
"C_polygonorum","Zea.Car","paste(italic(""P""),"" = 0.225"")"
"C_sandwichiana","Zea.Car","paste(italic(""P""),"" = 0.026"")"
"C_californica","Zea.Car","paste(italic(""P""),"" = 0.038"")"
"C_compacta","Zea.Car","paste(italic(""P""),"" = 0.014"")"
"C_cephalanthii","Zea.Car","paste(italic(""P""),"" = 0.003"")"
"C_denticulata","Zea.Car","paste(italic(""P""),"" = 0.077"")"
"C_tasmanica","Zea.Car","paste(italic(""P""),"" = 0.000605"")"
"C_costaricensis","Zea.Car","paste(italic(""P""),"" = 0.013"")"
"C_indecora","Zea.Car","paste(italic(""P""),"" = 0.059"")"
"C_australis","Vio.Car","paste(italic(""P""),"" = 0.176"")"
"C_polygonorum","Vio.Car","paste(italic(""P""),"" = 0.029"")"
"C_sandwichiana","Vio.Car","paste(italic(""P""),"" = 0.111"")"
"C_californica","Vio.Car","paste(italic(""P""),"" = 0.069"")"
"C_compacta","Vio.Car","paste(italic(""P""),"" = 0.076"")"
"C_cephalanthii","Vio.Car","paste(italic(""P""),"" = 0.000605"")"
"C_denticulata","Vio.Car","paste(italic(""P""),"" = 0.942"")"
"C_tasmanica","Vio.Car","paste(italic(""P""),"" = 0.002"")"
"C_costaricensis","Vio.Car","paste(italic(""P""),"" = 0.004"")"
"C_indecora","Vio.Car","paste(italic(""P""),"" = 0.054"")"
"C_australis","Neo.Car","paste(italic(""P""),"" = 0.309"")"
"C_polygonorum","Neo.Car","paste(italic(""P""),"" = 0.106"")"
"C_cephalanthii","Neo.Car","paste(italic(""P""),"" = 0.000605"")"
"C_australis","Ant.Car","paste(italic(""P""),"" = 0.164"")"
"C_polygonorum","Ant.Car","paste(italic(""P""),"" = 0.048"")"
