Subgenus,Tissue.code,Pigment,Mean,n,sd
Cuscuta,h,a.Car.Car,0,4,0
Cuscuta,h,b.Car.Car,0.27123018646210195,4,0.053119430129009944
Cuscuta,h,Zea.Car,0.07106703389449866,4,0.024215430300902924
Cuscuta,h,Vio.Car,0.2811650364370033,4,0.043334142315867685
Cuscuta,h,Neo.Car,0,4,0
Cuscuta,h,Ant.Car,0.16575552321409434,4,0.014717012836486763
Cuscuta,h,DEPS,29.799270305693156,4,5.249514927737595
Grammica,sdlg,a.Tocopherol,0.4714881601315394,15,1.1724955196071243
Grammica,sdlg,Violaxanthin,5.53168583758124,15,3.940111457958083
Grammica,sdlg,Neoxanthin,0.5821843651826353,15,1.1411012814378574
Grammica,sdlg,Lutein.epoxide,0.6408907380065493,15,1.2527538693996865
Grammica,sdlg,Antheraxanthin,5.196225971299338,15,2.5678089141316116
Grammica,sdlg,Lutein,17.106760963207655,15,10.960400717437828
Grammica,sdlg,Zeaxanthin,4.187338652548113,15,5.46847434001458
Grammica,sdlg,a.Carotene,0.9661896403259866,15,1.0716922617595825
Grammica,sdlg,b.Carotene,7.977940766537595,15,6.074508214938034
Grammica,sdlg,cis.B.carotene,2.8120255325376307,15,2.331575284368809
Grammica,sdlg,Chl.b,10.450874074757492,15,5.5474976481442315
Grammica,sdlg,Chl.a,31.086078861578116,15,20.498436058759115
Grammica,sdlg,Car.Chl31,1158.8802892854653,15,1184.2852970908993
Grammica,sdlg,Tot.Chl,41.53695293633561,15,25.442930212899892
Grammica,sdlg,Chl.a.b,2.864531195959987,15,1.1275305173766914
Grammica,sdlg,Tot.Car,41.54832619668256,15,25.908497895191232
Grammica,sdlg,VAZ,14.91525046142869,15,9.95366443001107
Grammica,sdlg,VAZ.Chl,0.46885999836795206,15,0.40421266673266243
Grammica,sdlg,VAZ.Car,0.36534369952697765,15,0.08918509187474959
Grammica,sdlg,NVZ,10.301208855311987,15,8.237836869560933
Grammica,sdlg,NVZ.Car,0.23337961205480912,15,0.05664471741902763
Grammica,sdlg,Lut.Chl,0.7080032467136839,15,1.1278234893812498
Grammica,sdlg,Lut.Car,0.41655785993065714,15,0.058926978342092165
Grammica,sdlg,Lut.epo.Car,0.014366945324410622,15,0.03737683935931042
Grammica,sdlg,a.Car.Car,0.02251558251974137,15,0.025228728233512878
Grammica,sdlg,b.Car.Car,0.1875575307567866,15,0.06325331684204134
Grammica,sdlg,Zea.Car,0.10019739211749763,15,0.06898176514425755
Grammica,sdlg,Vio.Car,0.12515689267147426,15,0.03898520689519287
Grammica,sdlg,Neo.Car,0.008025327265837245,15,0.015707998327228582
Grammica,sdlg,Ant.Car,0.13998941473800577,15,0.05464725602949899
Grammica,sdlg,DEPS,44.17526922607772,15,13.091111032476016
Grammica,y,a.Tocopherol,6.821446424711157,55,9.6057320453677
Grammica,y,Violaxanthin,8.900369222807491,55,4.82689886415644
Grammica,y,Neoxanthin,0.03744602600952345,55,0.16399243666080482
Grammica,y,Lutein.epoxide,0.45611366036872414,55,1.6742150031561145
Grammica,y,Antheraxanthin,8.774486084963188,55,3.878834456567939
Grammica,y,Lutein,12.639470150505128,55,9.605657818968956
Grammica,y,Zeaxanthin,7.640003624751426,55,4.511340862042399
Grammica,y,a.Carotene,2.5659361770675426,55,13.487883569727714
Grammica,y,b.Carotene,16.504207471785442,55,9.881990615571704
Grammica,y,cis.B.carotene,6.978090016578547,55,5.5744789702006985
Grammica,y,Chl.b,7.965527006431268,55,5.240008740234972
Grammica,y,Chl.a,30.228455092745563,55,23.64922448324369
Grammica,y,Car.Chl31,1363.179684056652,55,1294.870917046314
Grammica,y,Tot.Chl,38.19398209917683,55,26.837864937027742
Grammica,y,Chl.a.b,4.399102700468645,55,2.2603507180401192
Grammica,y,Tot.Car,57.06191875788974,55,27.700852661147817
Grammica,y,VAZ,25.314858932522103,55,10.519923537572968
Grammica,y,VAZ.Chl,1.1361526357683518,55,1.3636847371258396
Grammica,y,VAZ.Car,0.459934001588782,55,0.12158859489398377
Grammica,y,NVZ,16.57781887356844,55,6.919947517812753
Grammica,y,NVZ.Car,0.30132932543090674,55,0.07700495751307018
Grammica,y,Lut.Chl,0.5149945802164869,55,0.690354176254522
Grammica,y,Lut.Car,0.20542855483755246,55,0.11455443561046762
Grammica,y,Lut.epo.Car,0.006440877547725269,55,0.022405810646883288
Grammica,y,a.Car.Car,0.022997917903475135,55,0.0698847022215859
Grammica,y,b.Car.Car,0.3111075512409776,55,0.15220358805067147
Grammica,y,Zea.Car,0.14128628001269464,55,0.07128353009436972
Grammica,y,Vio.Car,0.15951107098899928,55,0.0716648258454988
Grammica,y,Neo.Car,5.319744292128015e-4,55,0.0022828189939595907
Grammica,y,Ant.Car,0.1591366505870881,55,0.05276507123045127
Grammica,y,DEPS,47.80404112479352,55,12.37172694590069
Grammica,o,a.Tocopherol,1.7953756996538124,69,1.4669489777340956
Grammica,o,Violaxanthin,1.7630347482857263,69,0.9201823102798896
Grammica,o,Neoxanthin,0,69,0
Grammica,o,Lutein.epoxide,0.004983311383984348,69,0.04139449325855568
Grammica,o,Antheraxanthin,1.2969847416635205,69,0.6942470868173555
Grammica,o,Lutein,1.516729887464547,69,0.8029230903501621
Grammica,o,Zeaxanthin,1.2563431818036466,69,0.7882328373881327
Grammica,o,a.Carotene,0.8136091236734329,69,1.1382201059574932
Grammica,o,b.Carotene,13.34029820734794,69,6.752406471568881
Grammica,o,cis.B.carotene,6.464297167241141,69,4.109593225147231
Grammica,o,Chl.b,2.671232278017656,69,1.3595512128409046
Grammica,o,Chl.a,7.634415642362834,69,4.264079127112782
Grammica,o,Car.Chl31,1335.058471760314,69,887.8366901654772
Grammica,o,Tot.Chl,10.30564792038049,69,5.550770837896792
Grammica,o,Chl.a.b,2.814403304124605,68,0.531157781713525
Grammica,o,Tot.Car,19.986999890238813,69,7.875526418380107
Grammica,o,VAZ,4.316362671752893,69,1.7708022720011867
Grammica,o,VAZ.Chl,0.4672439209213886,69,0.18947049601489768
Grammica,o,VAZ.Car,0.24499935725552854,69,0.13604826463085337
Grammica,o,NVZ,3.0193779300893726,69,1.1842546986808415
Grammica,o,NVZ.Car,0.1718295705239159,69,0.09221220264158596
Grammica,o,Lut.Chl,0.15782508186811248,69,0.0799160138235013
Grammica,o,Lut.Car,0.08144731019661088,69,0.050330024619704504
Grammica,o,Lut.epo.Car,1.2636382827787163e-4,69,0.0010496567913826503
Grammica,o,a.Car.Car,0.0362443016741716,69,0.05347962679859565
Grammica,o,b.Car.Car,0.637309030873689,69,0.16801091235199608
Grammica,o,Zea.Car,0.06713051053078502,69,0.04125782459349561
Grammica,o,Vio.Car,0.10469905999313088,69,0.07877530852479563
Grammica,o,Neo.Car,0,69,0
Grammica,o,Ant.Car,0.07316978673161266,69,0.04764802574106118
Grammica,o,DEPS,44.643863022658365,69,14.514476563337263
