Subgenus,Species,Accession.No,Tissue.code,Pigment,Mean,n,sd
Grammica,C_cephalanthii,1567,f,b.Car.Car,0.16902623876487438,2,0.0028562922757870766
Grammica,C_cephalanthii,1567,f,Neo.Car,0.03667305165820888,2,0.0015150557469133883
Grammica,C_cephalanthii,1567,s,Chl.b,24.362165757546176,5,7.880487585348255
Grammica,C_cephalanthii,1567,s,Chl.a,83.25237826502213,5,23.368676722429868
Grammica,C_cephalanthii,1567,s,Tot.Chl,107.61454402256831,5,31.181425284782836
Grammica,C_cephalanthii,1567,s,Chl.a.b,3.4497829260859443,5,0.1826093198089619
Grammica,C_cephalanthii,1567,s,Tot.Car,56.071877051916154,5,8.471911249666132
Grammica,C_cephalanthii,1567,s,VAZ.Car,0.28636821366784065,5,0.040405836553302106
Grammica,C_cephalanthii,1567,s,Lut.Car,0.49451985302290424,5,0.04025698633917258
Grammica,C_cephalanthii,1567,s,Lut.epo.Car,0.013192098211870984,5,0.007671427014844389
Grammica,C_cephalanthii,1567,s,a.Car.Car,0.0023753452145159623,5,0.003741902381320808
Grammica,C_cephalanthii,1567,s,b.Car.Car,0.191027984118199,5,0.012199072989991113
Grammica,C_cephalanthii,1567,s,Neo.Car,0.025708603976540144,5,0.004736194536007677
Grammica,C_compacta,1566,sdlg,Chl.b,13.385437697367628,6,5.4991603495229535
Grammica,C_compacta,1566,sdlg,Chl.a,36.809025929472845,6,15.528219823762692
Grammica,C_compacta,1566,sdlg,Tot.Chl,50.194463626840474,6,20.951573574147798
Grammica,C_compacta,1566,sdlg,Chl.a.b,2.7522614352701664,6,0.31504461034038755
Grammica,C_compacta,1566,sdlg,Tot.Car,24.523518863570473,6,7.620632947076481
Grammica,C_compacta,1566,sdlg,VAZ.Car,0.42312668603676523,6,0.0271198681915219
Grammica,C_compacta,1566,sdlg,Lut.Car,0.4279517351100108,6,0.020732723644270052
Grammica,C_compacta,1566,sdlg,Lut.epo.Car,0,6,0
Grammica,C_compacta,1566,sdlg,a.Car.Car,0.002455166238478906,6,0.003718425223906991
Grammica,C_compacta,1566,sdlg,b.Car.Car,0.14646641261474508,6,0.007961858862908967
Grammica,C_compacta,1566,sdlg,Neo.Car,0,6,0
Grammica,C_compacta,1566,y,Chl.b,15.800136963579332,5,4.171682402236968
Grammica,C_compacta,1566,y,Chl.a,61.877257570611526,5,29.525189218292866
Grammica,C_compacta,1566,y,Tot.Chl,77.67739453419085,5,30.45490601668273
Grammica,C_compacta,1566,y,Chl.a.b,4.114760754637277,5,1.7834474531004754
Grammica,C_compacta,1566,y,Tot.Car,67.84846002245118,5,13.083362428713837
Grammica,C_compacta,1566,y,VAZ.Car,0.49461548180572995,5,0.019493472437881187
Grammica,C_compacta,1566,y,Lut.Car,0.3508543582915016,5,0.026551340933392377
Grammica,C_compacta,1566,y,Lut.epo.Car,0.0010866338382109313,5,0.002429787128891151
Grammica,C_compacta,1566,y,a.Car.Car,0.0070526971444194375,5,0.004473644321378964
Grammica,C_compacta,1566,y,b.Car.Car,0.147477462758349,5,0.029584579761075182
Grammica,C_compacta,1566,y,Neo.Car,0,5,0
Grammica,C_compacta,1566,o,Chl.b,5.973370207669165,4,2.2222150828658016
Grammica,C_compacta,1566,o,Chl.a,15.36586500547522,4,7.625011868217584
Grammica,C_compacta,1566,o,Tot.Chl,21.339235213144384,4,9.747750429472832
Grammica,C_compacta,1566,o,Chl.a.b,2.5132642361320694,4,0.61029939854488
Grammica,C_compacta,1566,o,Tot.Car,38.12437602126576,4,7.914677076019306
Grammica,C_compacta,1566,o,VAZ.Car,0.15951336507349506,4,0.07389399844511026
Grammica,C_compacta,1566,o,Lut.Car,0.0658575202403242,4,0.02740260401069504
Grammica,C_compacta,1566,o,Lut.epo.Car,0.0021797760377932863,4,0.004359552075586573
Grammica,C_compacta,1566,o,a.Car.Car,0.08014157584775188,4,0.027846743407616843
Grammica,C_compacta,1566,o,b.Car.Car,0.6944875388384288,4,0.07667943983254669
Grammica,C_compacta,1566,o,Neo.Car,0,4,0
Grammica,C_compacta,1566,h,Chl.b,21.30061942344743,2,0.9933762843020122
Grammica,C_compacta,1566,h,Chl.a,57.18677417299226,2,6.7095194876744495
Grammica,C_compacta,1566,h,Tot.Chl,78.48739359643969,2,7.702895771976464
Grammica,C_compacta,1566,h,Chl.a.b,2.6803167575694937,2,0.18999242725461832
Grammica,C_compacta,1566,h,Tot.Car,35.84622960727798,2,8.418709484349591
Grammica,C_compacta,1566,h,VAZ.Car,0.40112148069825226,2,0.10689597626476322
Grammica,C_compacta,1566,h,Lut.Car,0.3399041199116213,2,0.13283632795517256
Grammica,C_compacta,1566,h,Lut.epo.Car,0,2,0
Grammica,C_compacta,1566,h,a.Car.Car,0.05314069599938158,2,0.030534389523685965
