Subgenus,Species,Accession.,Individual,AOI....Sample.per.Replicate.,Tissue,Measurement.Date,Time,Comments,exclude,Tissue.edit,ID,Metric,Value,Subgenus.Metric,Tissue.edit_names,Subgenus.Tissue
Grammica,C_californica,ss17-105,E,9,flower,2018-07-06,2:26:42 PM,,,f,169,Fv.Fm,0.619498344,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_compacta,1566,D,5,flower,2018-03-08,11:00:04 AM,,,f,170,Fv.Fm,0.414239482,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_polygonorum,1705,A,2,seed,2018-01-25,10:20:42 AM,,,s,171,Fv.Fm,0.543309438,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_tasmanica,17-15,A,3,flower,2018-04-17,3:16:54 PM,,,f,174,Fv.Fm,0.682570594,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_gracillima,CUGR,A,1,haustorium,2018-07-06,1:31:44 PM,,,h,175,Fv.Fm,0.595930233,Grammica__Fv.Fm,Haustorium,Grammica__Haustorium
Grammica,C_cephalanthii,1567,G,3,seed (old),2018-05-29,12:53:01 PM,,,s,176,Fv.Fm,0.497133821,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_tasmanica,17-15,A,1,old,2018-04-17,3:00:16 PM,,,o,177,Fv.Fm,0.430232558,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_cephalanthii,1567,G,4,haustorium,2018-03-04,5:38:33 PM,,,h,178,Fv.Fm,0.389195149,Grammica__Fv.Fm,Haustorium,Grammica__Haustorium
Grammica,C_tasmanica,17-15,C,5,flower,2018-06-22,1:42:52 PM,,,f,179,Fv.Fm,0.678843227,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_australis,1382,-,1,seedling,2017-11-02,2:55:01 PM,,,sdlg,180,Fv.Fm,0.73822563,Grammica__Fv.Fm,Seedling,Grammica__Seedling
Grammica,C_cephalanthii,1567,G,4,seed (old),2018-05-29,12:53:01 PM,,,s,181,Fv.Fm,0.477146042,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_cephalanthii,1567,B,11,flower,2017-12-21,10:08:02 AM,,,f,182,Fv.Fm,0.544648137,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_sandwichiana,155,A,5,old,2018-01-15,11:31:08 AM,,,o,183,Fv.Fm,0.368159204,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_australis,1382,B,2,haustorium,2017-12-13,3:30:14 PM,,,h,184,Fv.Fm,0.6256,Grammica__Fv.Fm,Haustorium,Grammica__Haustorium
Grammica,C_cephalanthii,1567,B,10,flower,2017-12-21,10:08:02 AM,,,f,185,Fv.Fm,0.542020774,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_compacta,1566,-,1,seedling,2017-11-02,3:45:51 PM,,,sdlg,187,Fv.Fm,0.57841752,Grammica__Fv.Fm,Seedling,Grammica__Seedling
Grammica,C_denticulata,ss13-46,C,4,flower,2018-06-20,3:03:14 PM,,,f,188,Fv.Fm,0.626566416,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_cephalanthii,1567,B,1,haustorium,2017-12-21,10:34:52 AM,,,h,189,Fv.Fm,0.562133333,Grammica__Fv.Fm,Haustorium,Grammica__Haustorium
Grammica,C_indecora,ss16-17,E,5,flower,2018-03-23,3:52:37 PM,,,f,190,Fv.Fm,0.401797176,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_cephalanthii,1567,D,2,old,2018-03-08,12:10:52 PM,,,o,191,Fv.Fm,0.365591398,Grammica__Fv.Fm,Old,Grammica__Old
Grammica,C_cephalanthii,1567,A,5,flower,2017-12-21,10:53:16 AM,,,f,193,Fv.Fm,0.663212435,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_cephalanthii,1567,A,4,seed,2017-12-21,10:53:16 AM,,,s,194,Fv.Fm,0.561715481,Grammica__Fv.Fm,Seed,Grammica__Seed
Grammica,C_denticulata,ss13-46,D,4,haustorium,2018-05-29,4:58:54 PM,,,h,195,Fv.Fm,0.500472144,Grammica__Fv.Fm,Haustorium,Grammica__Haustorium
Grammica,C_compacta,1566,D,2,flower,2018-03-08,11:00:04 AM,,,f,196,Fv.Fm,0.564417178,Grammica__Fv.Fm,Flower,Grammica__Flower
Grammica,C_tasmanica,17-15,D,1,flower,2018-05-29,10:52:34 AM,,,f,197,Fv.Fm,0.382608696,Grammica__Fv.Fm,Flower,Grammica__Flower
