Subgenus,Species,Accession.,Tissue.edit,Metric,mean,n,sd
Grammica,C_cephalanthii,1567,sdlg,ΦNPQ,0.3041246008333333,6,0.10494920641993137
Grammica,C_cephalanthii,1567,sdlg,Φf.D,0.41219000100000003,6,0.030954276116899423
Grammica,C_cephalanthii,1567,sdlg,NPQ,0.7366913235,6,0.24409510340432725
Grammica,C_cephalanthii,1567,sdlg,X1.qP,0.52833346383333335,6,0.1834592639699851
Grammica,C_cephalanthii,1567,y,Fo,0.049715,20,0.02312140213832425
Grammica,C_cephalanthii,1567,y,Fm,0.12632,20,0.07445042575255592
Grammica,C_cephalanthii,1567,y,Ft,0.047795000000000004,20,0.01970304478206885
Grammica,C_cephalanthii,1567,y,Fo.,0.03672164735,20,0.013628375467757685
Grammica,C_cephalanthii,1567,y,Fv.Fm,0.57554899265,20,0.07562243624365733
Grammica,C_cephalanthii,1567,y,φPSII,0.2788486021,20,0.05509091904776005
Grammica,C_cephalanthii,1567,y,ΦNPQ,0.28006721363157894,19,0.13395209266962982
Grammica,C_cephalanthii,1567,y,Φf.D,0.4282628138,20,0.13443011020609547
Grammica,C_cephalanthii,1567,y,NPQ,0.8159203590499999,20,0.5119433246608912
Grammica,C_cephalanthii,1567,y,X1.qP,0.3675530755,20,0.07088550214843901
Grammica,C_cephalanthii,1567,o,Fo,0.0178,33,0.011447434210337266
Grammica,C_cephalanthii,1567,o,Fm,0.03461212121212121,33,0.025346791680306374
Grammica,C_cephalanthii,1567,o,Ft,0.017875757575757576,33,0.010981462513681588
Grammica,C_cephalanthii,1567,o,Fo.,0.013840379515151515,33,0.008503933688655938
Grammica,C_cephalanthii,1567,o,Fv.Fm,0.45147535093333335,30,0.10071220862030722
Grammica,C_cephalanthii,1567,o,φPSII,0.14982259775757575,33,0.10973501358605152
Grammica,C_cephalanthii,1567,o,ΦNPQ,0.2490059483030303,33,0.10047735587792476
Grammica,C_cephalanthii,1567,o,Φf.D,0.5648728288333333,30,0.11637322485489508
Grammica,C_cephalanthii,1567,o,NPQ,0.4707468340909091,33,0.2598953178419487
Grammica,C_cephalanthii,1567,o,X1.qP,0.5596390218275862,29,0.21752967097267478
Grammica,C_cephalanthii,1567,h,Fo,0.09699285714285714,14,0.03692048554322184
Grammica,C_cephalanthii,1567,h,Fm,0.21190714285714285,14,0.10120069522629632
Grammica,C_cephalanthii,1567,h,Ft,0.08736923076923077,13,0.04044385788998919
Grammica,C_cephalanthii,1567,h,Fo.,0.06279859461538462,13,0.024204697706352765
Grammica,C_cephalanthii,1567,h,Fv.Fm,0.5617937261052631,19,0.09983394898849841
Grammica,C_cephalanthii,1567,h,φPSII,0.12763308568421053,19,0.03970079207034418
Grammica,C_cephalanthii,1567,h,ΦNPQ,0.4434253631578947,19,0.07155679322346298
Grammica,C_cephalanthii,1567,h,Φf.D,0.4289415513157895,19,0.08664428047998292
Grammica,C_cephalanthii,1567,h,NPQ,1.112798758,19,0.43359781373666173
Grammica,C_cephalanthii,1567,h,X1.qP,0.6576926066666666,18,0.10569373328391087
Grammica,C_cephalanthii,1567,f,Fo,0.07418823529411765,17,0.03676407693579667
Grammica,C_cephalanthii,1567,f,Fm,0.18215333333333333,15,0.12004348537489395
Grammica,C_cephalanthii,1567,f,Ft,0.093475,16,0.052672060905189576
Grammica,C_cephalanthii,1567,f,Fo.,0.05852986952941176,17,0.030725029580241228
Grammica,C_cephalanthii,1567,f,Fv.Fm,0.62828996425,20,0.07608977415620576
Grammica,C_cephalanthii,1567,f,φPSII,0.13585682065,20,0.08201535924328288
Grammica,C_cephalanthii,1567,f,ΦNPQ,0.36917433985,20,0.0393194991492264
Grammica,C_cephalanthii,1567,f,Φf.D,0.49496883965,20,0.08536468568754177
Grammica,C_cephalanthii,1567,f,NPQ,0.77029108395,20,0.16884132331777077
Grammica,C_cephalanthii,1567,f,X1.qP,0.73309030245,20,0.15170491001779104
Grammica,C_cephalanthii,1567,s,Fo,0.1628888888888889,27,0.03394277235099978
Grammica,C_cephalanthii,1567,s,Fm,0.45741785714285715,28,0.09768266480110738
Grammica,C_cephalanthii,1567,s,Ft,0.20457241379310345,29,0.04743701008820407
Grammica,C_cephalanthii,1567,s,Fo.,0.12378629457142856,28,0.027045495282062074
Grammica,C_cephalanthii,1567,s,Fv.Fm,0.6242851955121951,41,0.06817713041923931
Grammica,C_cephalanthii,1567,s,φPSII,0.16105315955,40,0.07874266083233994
Grammica,C_cephalanthii,1567,s,ΦNPQ,0.37275045305128207,39,0.07497585518072787
Grammica,C_cephalanthii,1567,s,Φf.D,0.467821839375,40,0.12106892619945497
Grammica,C_cephalanthii,1567,s,NPQ,0.9189708446097561,41,0.41045555241996595
Grammica,C_cephalanthii,1567,s,X1.qP,0.647280575025,40,0.18397917299030836
Grammica,C_compacta,1566,sdlg,Fo,0.084425,4,0.013487370635771332
Grammica,C_compacta,1566,sdlg,Fm,0.18985,6,0.0624533986264959
Grammica,C_compacta,1566,sdlg,Ft,0.06392,5,0.019512483183849256
Grammica,C_compacta,1566,sdlg,Fo.,0.0478490824,5,0.008106199829185548
Grammica,C_compacta,1566,sdlg,Fv.Fm,0.5223626435,6,0.06410058583910007
Grammica,C_compacta,1566,sdlg,φPSII,0.099773243,1,NA
Grammica,C_compacta,1566,sdlg,ΦNPQ,0.41719179733333334,3,0.0309092717141869
Grammica,C_compacta,1566,sdlg,Φf.D,0.45995545783333336,6,0.0974942480453317
Grammica,C_compacta,1566,sdlg,NPQ,1.1358651991428572,7,0.4141047720988233
Grammica,C_compacta,1566,sdlg,X1.qP,0.9467157665,8,0.5721142023334076
